"democracy","econ_growth","allies","contig","cprt","trade","contdisp","mid"
-0.8,-0.890999984741211,0,0,1.71309997558594,0,0,0
-0.9,0.16599999666214,0,0,0.487000007629395,0.00219999998807907,0,0
-0.9,0.298000001907349,1,1,0.262900009155273,0.0015999999595806,0,0
-0.7,0.102999997138977,0,1,0.0769999980926514,0.00039999998989515,1,1
-0.9,-0.342000007629395,0,0,0.321699981689453,0.00039999998989515,0,0
1,0.0330000013113022,0,1,0.0123000001907349,0.00359999993816018,0,0
-0.7,0.317000007629395,0,0,5.73739990234375,0,0,0
-0.8,0.809000015258789,0,0,0.109200000762939,0,0,1
-0.7,0.58899998664856,0,0,0.0498999977111816,0.000199999994947575,0,0
-0.9,-0.0980000019073486,1,1,0.0257999992370605,0.00579999992623925,1,1
-0.7,0.187000000476837,0,0,8.24840026855469,0,0,0
-0.8,-0.0400000005960464,0,0,0.0128999996185303,0.000199999994947575,0,0
-0.7,-0.046000000834465,0,0,3.81630004882813,0,0,0
-0.7,-0.251999998092651,0,0,34.3060009765625,0,0,0
-0.8,-1.20799999237061,0,0,1.65970001220703,0,0,0
-0.8,0.282999992370605,0,0,0.262199993133545,0,0,0
-0.7,-1.53900003433228,0,1,0.100600004196167,0,1,1
-0.7,0.205999994277954,0,1,0.0146000003814697,0,1,1
1,0.258999991416931,0,0,0.0990999984741211,0.00240000011399388,0,0
-0.7,-1.81000003814697,0,1,0.100200004577637,0,1,1
-0.9,0.101999998092651,0,0,0.312600002288818,0,1,1
0.8,0.344000005722046,0,1,0.222600002288818,0.00179999996908009,0,0
-0.7,-0.505999994277954,0,1,0.0501000022888184,0.0007999999797903,0,0
-0.9,0.125999999046326,1,1,0.126899995803833,0.000199999994947575,0,0
1,0.201999998092651,0,0,0.564900016784668,0.000199999994947575,0,0
-0.9,0.294000005722046,0,1,0.0317000007629395,0,0,0
-1,-0.0479999989271164,1,1,0.632000007629395,0,0,0
-0.8,-0.296000003814697,0,0,8.10690002441406,0,0,0
0.1,-0.28199999332428,0,0,0.560999984741211,0.00039999998989515,0,0
-0.7,0.434999990463257,0,1,0.0351999998092651,0.0015999999595806,1,1
-0.8,0.21800000667572,0,0,0.308700008392334,0,0,0
-0.9,-0.0319999992847443,0,0,1.04889999389648,0,0,0
-0.9,0.284999990463257,0,0,0.504799995422363,0,0,0
0.2,0.398000001907349,1,1,0.0239000010490417,0.000600000028498471,1,1
-0.9,-0.342000007629395,0,1,0.849199981689453,0,0,0
-0.8,0.316000008583069,0,0,0.889300003051758,0,0,0
-0.8,0.238000011444092,0,0,0.0910000038146973,0.00039999998989515,0,1
-0.3,0.374000000953674,1,0,2.07589996337891,0.00260000000707805,0,0
-0.7,-0.85,0,0,10.1878997802734,0,0,0
-0.7,0.582000017166138,1,1,0.287700004577637,0.0031999999191612,0,0
-0.9,-0.469999980926514,0,1,0.0114999997615814,0,1,1
-0.9,-0.25,0,1,0.0129999995231628,0,1,1
-0.9,-0.119000005722046,1,1,0.0154999995231628,0.00039999998989515,0,0
-0.5,-0.239000010490417,1,1,0.249300003051758,0,0,0
-0.7,0.354999995231628,0,1,0.0111000001430511,0.000199999994947575,0,1
-0.3,0.249000000953674,0,0,0.922099990844727,0,0,0
-0.7,0.415000009536743,0,1,0.0544000005722046,0.000199999994947575,0,0
-0.7,0.646999979019165,0,0,30.9060009765625,0,0,0
1,-0.378999996185303,1,0,0.0459000015258789,0.00419999985024333,0,0
-0.7,0.519000005722046,0,1,0.0272000002861023,0,1,1
-0.8,0.34300000667572,0,0,0.365400009155273,0,0,0
-0.7,0.0200000002980232,0,0,3.15040008544922,0,0,0
-0.7,-1.49499998092651,1,1,0.0621000003814697,0,1,1
0.9,-0.173000001907349,0,0,25.7925,0,0,0
-0.7,0.385999989509583,0,0,0.247800006866455,0.00039999998989515,0,0
-0.7,0.209999990463257,0,0,0.347400016784668,0,1,1
-0.9,-0.113999998569489,0,1,0.0194000005722046,0,1,1
-0.9,-0.0579999983310699,0,0,0.0329999995231628,0.0007999999797903,1,1
-0.7,-0.351999998092651,1,1,0.0186000001430511,0.00139999995008111,1,1
-0.9,-0.102999997138977,0,0,0.0204999995231628,0,1,1
-0.8,0.213000011444092,0,0,4.79700012207031,0,0,0
-0.8,0.358999991416931,0,0,1.73139999389648,0,1,1
-0.7,0.290000009536743,0,1,0.896399993896484,0.000199999994947575,0,0
-0.8,-1.36499996185303,0,1,0.0137000000476837,0,0,0
-0.8,-0.890999984741211,0,0,5.23650024414063,0,0,0
0.2,0.149000000953674,1,0,3.41320007324219,0.000199999994947575,0,0
-0.8,0.352999997138977,0,0,0.0179999995231628,0,1,1
-0.9,0.209999990463257,0,1,0.0538000011444092,0,0,0
0.2,0.225,0,1,0.451599998474121,0,0,1
-0.7,-0.732999992370605,0,0,0.293999996185303,0.000199999994947575,0,0
-0.7,0.314000010490417,0,1,0.0116999995708466,0.000199999994947575,1,1
-0.7,-0.183000004291534,1,1,0.0399000000953674,0.00039999998989515,0,1
-0.8,-0.521000003814697,1,0,0.831699981689453,0,0,0
-0.9,-0.426000022888184,0,0,0.838600006103516,0,0,0
-0.7,0.430999994277954,1,1,0.0338000011444092,0.00260000000707805,0,0
-0.7,0.360999989509583,0,0,0.149399995803833,0,0,0
1,-0.426000022888184,1,1,0.0347000002861023,0.00300000002607703,0,0
-0.5,-0.121000003814697,1,0,2.46710006713867,0.000199999994947575,1,1
-0.9,0.796000003814697,1,1,0.182700004577637,0.000199999994947575,0,0
0.8,0.05,1,0,0.0124000000953674,0,0,0
-0.9,-0.31800000667572,1,1,0.268299999237061,0.00120000005699694,0,0
-0.7,0.255999994277954,0,0,0.0626999998092651,0.0015999999595806,0,0
-0.8,0.0469999998807907,0,0,0.289799995422363,0,1,1
1,0.0850000023841858,1,1,0.200100002288818,0.0143999997526407,0,0
-0.8,-0.166999995708466,0,0,0.1675,0.0142000000923872,0,0
1,0.68600001335144,1,1,0.0561999988555908,0.0152000002563,0,0
-0.8,0.155999994277954,0,0,0.0384999990463257,0.000600000028498471,1,1
-0.9,-1.23100004196167,1,0,3.85140014648437,0,0,0
-0.7,-0.324000000953674,1,1,0.0191999995708466,0,0,0
-0.7,0.09200000166893,1,1,0.0147000002861023,0,0,0
-0.8,0.576999998092651,0,0,0.0257999992370605,0.00039999998989515,1,1
-0.9,0.361999988555908,0,0,0.294899997711182,0,1,1
-0.9,0.332999992370605,0,0,0.0320000004768372,0.00100000004749745,1,1
-0.8,0.284999990463257,0,0,0.0304999995231628,0.0007999999797903,1,1
-0.7,0.0879999995231628,0,1,0.0316000008583069,0.00219999998807907,1,1
-1,0.215000009536743,0,1,0.337400016784668,0,0,0
-0.8,0.444000005722046,0,1,0.0310999989509583,0.00179999996908009,1,1
-0.9,0.51100001335144,1,1,0.0348000001907349,0.000600000028498471,1,1
-0.9,-0.444000005722046,1,1,0.0332999992370605,0.00039999998989515,1,1
-0.7,0.255999994277954,0,0,0.529300003051758,0,1,1
-0.8,0.171000003814697,0,0,0.251399993896484,0,0,1
-0.8,0.396000003814697,0,0,0.0158000004291534,0.000600000028498471,0,0
-0.8,0.147000002861023,0,0,0.0137999999523163,0.00039999998989515,1,1
-0.9,0.914000034332275,0,0,0.368199996948242,0,0,0
-0.9,0.348000001907349,1,1,0.0105999994277954,0,1,1
-0.9,-1.06800003051758,1,1,0.0261999988555908,0.00620000017806888,0,0
-0.7,-0.23199999332428,1,1,0.0561999988555908,0.000199999994947575,0,0
-0.7,0.101999998092651,0,0,0.421199989318848,0,1,1
1,0.0330000013113022,1,0,0.164899997711182,0.0015999999595806,0,0
-0.9,-0.0670000016689301,0,1,0.776500015258789,0.00039999998989515,1,1
-0.5,0.196000003814697,0,0,0.190599994659424,0.0020000000949949,1,1
0.5,0.233999991416931,1,0,0.897900009155273,0.0007999999797903,0,0
